track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,90,0.548,0.122,0.816,0.0,0.335,-4.209,0.0465,95.39,4,['pop'],27740169,88
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,2017-04-20,199440,88,0.866,0.38,0.813,0.0,0.0779,-4.063,0.0554,121.998,4,"['canadian pop', 'pop', 'viral pop']",41669212,83
7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,89,0.825,0.581,0.652,0.0,0.0931,-3.183,0.0802,95.977,4,"['pop', 'uk pop']",112455903,91
2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,2018-11-30,251173,74,0.717,0.383,0.73,0.0,0.398,-4.729,0.0568,102.002,4,"['pop', 'uk dance', 'uk funky']",5187446,74
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",65720504,95
2N8m6CYs74qQO4mjVcXO30,Dance Monkey,Welcome To The Madhouse (Deluxe),Tones And I,2021-07-16,209438,77,0.824,0.69,0.587,0.000105,0.149,-6.401,0.0937,98.029,4,['australian pop'],3012792,70
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,183290,84,0.793,0.0123,0.793,0.0,0.0951,-4.521,0.083,123.95,4,"['dance pop', 'pop', 'uk pop']",40039966,87
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,90,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,4,"['pop', 'uk pop']",11119058,83
21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,88,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",40799101,89
4cktbXiXOapiLBMprHFErI,Memories,JORDI (Deluxe),Maroon 5,2021-06-11,189486,83,0.775,0.841,0.327,0.0,0.0821,-7.241,0.0557,91.05,4,['pop'],40626973,85
6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),Shawn Mendes,2019-06-19,190799,82,0.759,0.0392,0.548,0.0,0.0828,-6.049,0.029,116.967,4,"['canadian pop', 'pop', 'viral pop']",41669212,83
16wAOAZ2OkqoIDN7TpChjR,Yummy,Changes,Justin Bieber,2020-02-14,208520,71,0.676,0.345,0.506,0.0,0.118,-6.652,0.0958,145.842,4,"['canadian pop', 'pop']",72266711,89
0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,85,0.755,0.533,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",40799101,89
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,90,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4,"['art pop', 'electropop', 'pop']",81270390,88
2iUXsYOEPhVqEBwsqP70rE,Youngblood,Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,203417,82,0.596,0.0169,0.854,0.0,0.124,-5.114,0.463,120.274,4,"['boy band', 'pop']",9406814,77
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,['australian hip hop'],4570987,80
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Pray for the Wicked,Panic! At The Disco,2018-06-22,190946,83,0.579,0.193,0.904,0.0,0.064,-2.729,0.0618,82.014,4,['pop'],11852121,77
3USxtqRwSYz57Ewm6wWRMp,Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,91,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",3792122,76
1zB4vmk8tFRmM9UULNzbLB,Thunder,Evolve,Imagine Dragons,2017-06-23,187146,88,0.605,0.00671,0.822,0.134,0.147,-4.833,0.0438,167.997,4,"['modern rock', 'pop', 'rock']",48099091,87
4R2kfaDFhslZEMJqAFNpdd,cardigan,folklore,Taylor Swift,2020-07-24,239560,90,0.613,0.537,0.581,0.000345,0.25,-8.588,0.0424,130.033,4,['pop'],75809975,100
1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn (feat. Sia) - Radio Edit,Dusk Till Dawn (feat. Sia) [Radio Edit],ZAYN,2017-09-07,239000,78,0.259,0.102,0.437,1.32e-06,0.106,-6.589,0.0386,180.042,4,"['pop', 'uk pop']",22300268,75
0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,Imagine Dragons,2017-06-23,204346,90,0.776,0.0622,0.78,0.0,0.081,-4.374,0.128,124.949,4,"['modern rock', 'pop', 'rock']",48099091,87
4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,87,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4,['pop'],25463934,82
7szuecWAPwGoV1e5vGu8tl,In Your Eyes,After Hours,The Weeknd,2020-03-20,237520,80,0.667,0.00285,0.719,8.1e-05,0.0736,-5.371,0.0346,100.021,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",65720504,95
5wANPM4fQCJwkGd4rN57mH,drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,87,0.561,0.768,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4,['pop'],25463934,82
0Rx0DJI556Ix5gBny6EWmn,Paradise,Soul Searching,Bazzi,2019-08-09,169038,74,0.844,0.0828,0.644,0.0,0.113,-6.273,0.0479,122.061,4,['pop'],5433059,72
2VxeLyX666F8uXCJ0dZF8B,Shallow,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,215733,86,0.572,0.371,0.385,0.0,0.231,-6.362,0.0308,95.799,4,"['art pop', 'dance pop', 'pop']",26653702,85
2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,79,0.699,0.04,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4,['pop'],90820761,89
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,214846,88,0.791,0.037,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",23417437,86
08bNPGLD8AhKpnnERrAc6G,FRIENDS,FRIENDS,Marshmello,2018-02-09,202620,80,0.626,0.205,0.88,0.0,0.128,-2.384,0.0504,95.079,4,"['brostep', 'edm', 'pop', 'progressive electro house']",35133819,84
6ocbgoVGwYJhOv1GgI9NsF,7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,86,0.778,0.592,0.317,0.0,0.0881,-10.732,0.334,140.048,4,['pop'],90820761,89
5cF0dROlMOK5uNZtivgu50,Attention,Voicenotes,Charlie Puth,2018-05-11,208786,85,0.775,0.109,0.613,2.33e-05,0.134,-4.586,0.0542,100.066,4,"['pop', 'viral pop']",20390016,82
6uBhi9gBXWjanegOb2Phh0,Stay,Stay,Zedd,2017-02-23,210090,77,0.69,0.253,0.622,0.0,0.116,-5.025,0.0622,102.04,4,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",5944103,74
1OXfWI3FQMdsKKC6lkvzSx,Glad You Came,Glad You Came,The Wanted,2011-01-01,198466,0,0.698,0.0577,0.844,1.69e-05,0.105,-4.549,0.067,126.937,4,"['boy band', 'dance pop', 'pop', 'post-teen pop']",2634116,64
2AZXe8nq18mPITmPy5KJwQ,Hot N Cold,One Of The Boys,Katy Perry,2008-06-17,220226,39,0.706,7.95e-05,0.841,0.0,0.0688,-3.956,0.0418,132.032,4,['pop'],27286428,84
4LRPiXqCikLlN15c3yImP7,As It Was,As It Was,Harry Styles,2022-03-31,167303,92,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4,['pop'],27740169,88
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers,2016-07-29,244960,86,0.748,0.414,0.524,0.0,0.111,-5.599,0.0338,95.01,4,"['electropop', 'pop']",20185765,80
5WfhXulggG0c6WoVeMPA8N,Shake It Off,1989,Taylor Swift,2014-10-27,219200,0,0.648,0.0561,0.785,0.0,0.148,-5.414,0.165,160.02,4,['pop'],75809975,100
