track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,176579,84,0.671,0.0207,0.845,0.0,0.329,-4.93,0.048,110.056,4,"['dance pop', 'pop', 'uk pop']",40024254,87
0yLdNVWF3Srea0uzk55zFn,Flowers,Flowers,Miley Cyrus,2023-01-13,200454,97,0.707,0.0632,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,4,['pop'],20919467,88
7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,2023-05-18,231704,95,0.652,0.143,0.8,0.629,0.112,-4.019,0.0614,143.978,4,"['reggaeton', 'trap latino', 'urbano latino']",69830946,97
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SOS,SZA,2022-12-08,153946,94,0.644,0.0521,0.735,0.144,0.161,-5.747,0.0391,88.98,4,"['pop', 'r&b', 'rap']",12806283,90
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,The Beginning: Cupid,FIFTY FIFTY,2023-02-24,174253,98,0.783,0.435,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,4,['k-pop girl group'],789675,81
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,239317,95,0.801,0.382,0.806,0.000669,0.114,-5.206,0.0381,106.999,4,"['afrobeats', 'nigerian pop']",2463407,81
4LRPiXqCikLlN15c3yImP7,As It Was,As It Was,Harry Styles,2022-03-31,167303,92,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4,['pop'],27723678,88
26b3oVLrRUaaybJulow9kz,People,People,Libianca,2022-12-06,184791,93,0.573,0.551,0.422,1.31e-05,0.102,-7.621,0.0678,124.357,5,['afrobeats'],199404,75
6HgWWaMu31KdOpEG5l28BG,All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,223878,90,0.829,0.15,0.436,0.0,0.0954,-8.205,0.327,143.031,4,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5656036,87
6AQbmUe0Qwf5PZnt4HmTXv,Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,131013,95,0.696,0.252,0.809,0.000128,0.248,-8.254,0.05,132.962,4,['bedroom pop'],2091682,80
7oDd86yk8itslrA9HRP2ki,Die For You - Remix,Die For You (Remix),The Weeknd,2023-02-24,232857,93,0.531,0.232,0.525,0.0,0.441,-6.5,0.0671,66.9,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",65663054,95
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Chemical,Post Malone,2023-04-14,184013,90,0.498,0.00136,0.897,0.0,0.118,-4.907,0.045,169.902,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",40788028,89
1odExI7RdWc4BT515LTAwj,Daylight,Daylight,David Kushner,2023-04-14,212953,97,0.508,0.83,0.43,0.000441,0.093,-9.475,0.0335,130.09,4,['gen z singer-songwriter'],928829,79
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,221520,96,0.715,0.417,0.62,0.0,0.0822,-6.005,0.0484,97.95,4,"['rap', 'trap']",4458924,89
6l8mgVN9Xf1hiDIFGA6CTE,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé,2023-05-19,260962,83,0.784,0.0112,0.7,1.76e-05,0.163,-5.289,0.0396,126.015,4,"['pop', 'r&b']",34730923,87
3dnP0JxCgygwQH9Gm7q7nb,Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,165671,99,0.668,0.483,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,3,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",4099061,86
0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,Taylor Swift,2022-10-21,200690,94,0.637,0.13,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,4,['pop'],75710194,100
07bsRv0pcpbG4zJeLsUs1p,Eyes Closed,Eyes Closed,Ed Sheeran,2023-03-24,194848,89,0.777,0.302,0.526,0.0,0.105,-6.221,0.0645,107.071,4,"['pop', 'uk pop']",112427605,91
3BKD1PwArikchz2Zrlp1qi,Baby Don't Hurt Me,Baby Don't Hurt Me,David Guetta,2023-04-06,140017,91,0.602,0.00126,0.91,0.000174,0.12,-3.404,0.0308,127.944,4,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26075832,88
2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Never Felt So Alone,Labrinth,2023-04-07,160166,88,0.436,0.499,0.409,0.000166,0.38,-4.438,0.0533,98.357,3,"['indie poptimism', 'pop']",2906949,81
5mHdCZtVyb4DcJw8799hZp,Escapism.,My 21st Century Blues,RAYE,2023-02-03,272373,91,0.538,0.138,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,4,"['uk contemporary r&b', 'uk pop']",896321,78
5eTaQYBE1yrActixMAeLcZ,Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,2023-03-10,186496,92,0.636,0.0378,0.869,0.0446,0.0808,-5.289,0.0412,143.011,4,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",23415416,86
6UN73IYd0hZxLi8wFPMQij,Players,Players,Coi Leray,2022-11-30,139560,91,0.954,0.03,0.516,7.54e-06,0.0504,-5.817,0.16,105.001,4,"['new jersey underground rap', 'trap queen']",572089,79
5odlY52u43F5BjByhxg7wg,golden hour,this is what ____ feels like (Vol. 1-4),JVKE,2022-09-23,209259,90,0.515,0.653,0.593,0.162,0.25,-4.801,0.0322,94.467,3,"['modern indie pop', 'pov: indie']",2423683,82
1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,2022-04-22,176440,93,0.551,0.777,0.55,0.0,0.202,-5.339,0.0286,101.19,3,['gen z singer-songwriter'],664646,78
609E1JCInJncactoMmkDon,BESO,RR,ROSALÍA,2023-03-24,194543,96,0.768,0.736,0.644,0.000837,0.173,-6.671,0.136,95.05,4,"['pop', 'r&b en espanol']",7321097,85
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,RENAISSANCE,Beyoncé,2022-07-29,225388,90,0.78,0.0368,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,4,"['pop', 'r&b']",34730923,87
