track_id,genres,followers,popularity
6UelLqGlWMcVH1E5c4H7lY,['pop'],27740169,88
7JJmb5XwzOO8jgpou264Ml,"['canadian pop', 'pop', 'viral pop']",41669212,83
7qiZfU4dY1lWllzX7mPBI3,"['pop', 'uk pop']",112455903,91
2hrUO4drrO63i7FYbCLBl2,"['pop', 'uk dance', 'uk funky']",5187446,74
0VjIjW4GlUZAMYd2vXMi3b,"['canadian contemporary r&b', 'canadian pop', 'pop']",65720504,95
2N8m6CYs74qQO4mjVcXO30,['australian pop'],3012792,70
3PfIrDoz19wz7qK7tYeu62,"['dance pop', 'pop', 'uk pop']",40039966,87
7qEHsqek33rTcFNT9PFqLf,"['pop', 'uk pop']",11119058,83
21jGcNKet2qwijlDFuPiPb,"['dfw rap', 'melodic rap', 'pop', 'rap']",40799101,89
4cktbXiXOapiLBMprHFErI,['pop'],40626973,85
6v3KW9xbzN5yKLt9YKDYA2,"['canadian pop', 'pop', 'viral pop']",41669212,83
16wAOAZ2OkqoIDN7TpChjR,"['canadian pop', 'pop']",72266711,89
0RiRZpuVRbi7oqRdSMwhQY,"['dfw rap', 'melodic rap', 'pop', 'rap']",40799101,89
0u2P5u6lvoDfwTYjAADbn4,"['art pop', 'electropop', 'pop']",81270390,88
2iUXsYOEPhVqEBwsqP70rE,"['boy band', 'pop']",9406814,77
5HCyWlXZPP0y6Gqq8TgA20,['australian hip hop'],4570987,80
1rqqCSm0Qe4I9rUvWncaom,['pop'],11852121,77
3USxtqRwSYz57Ewm6wWRMp,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",3792122,76
1zB4vmk8tFRmM9UULNzbLB,"['modern rock', 'pop', 'rock']",48099091,87
4R2kfaDFhslZEMJqAFNpdd,['pop'],75809975,100
1j4kHkkpqZRBwE0A4CN4Yv,"['pop', 'uk pop']",22300268,75
0pqnGHJpmpxLKifKRmU6WP,"['modern rock', 'pop', 'rock']",48099091,87
4ZtFanR9U6ndgddUvNcjcG,['pop'],25463934,82
7szuecWAPwGoV1e5vGu8tl,"['canadian contemporary r&b', 'canadian pop', 'pop']",65720504,95
5wANPM4fQCJwkGd4rN57mH,['pop'],25463934,82
0Rx0DJI556Ix5gBny6EWmn,['pop'],5433059,72
2VxeLyX666F8uXCJ0dZF8B,"['art pop', 'dance pop', 'pop']",26653702,85
2qT1uLXPVPzGgFOx4jtEuo,['pop'],90820761,89
7ef4DlsgrMEH11cDZd32M6,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",23417437,86
08bNPGLD8AhKpnnERrAc6G,"['brostep', 'edm', 'pop', 'progressive electro house']",35133819,84
6ocbgoVGwYJhOv1GgI9NsF,['pop'],90820761,89
5cF0dROlMOK5uNZtivgu50,"['pop', 'viral pop']",20390016,82
6uBhi9gBXWjanegOb2Phh0,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",5944103,74
