track_id,genres,followers,popularity
1vYXt7VSjH9JIM5oRRo7vA,"['dance pop', 'pop', 'uk pop']",40024254,87
0yLdNVWF3Srea0uzk55zFn,['pop'],20919467,88
7ro0hRteUMfnOioTFI5TG1,"['reggaeton', 'trap latino', 'urbano latino']",69830946,97
1Qrg8KqiBpW07V7PNxwwwL,"['pop', 'r&b', 'rap']",12806283,90
7FbrGaHYVDmfr7KoLIZnQ7,['k-pop girl group'],789675,81
0WtM2NBVQNNJLh6scP13H8,"['afrobeats', 'nigerian pop']",2463407,81
4LRPiXqCikLlN15c3yImP7,['pop'],27723678,88
26b3oVLrRUaaybJulow9kz,['afrobeats'],199404,75
6HgWWaMu31KdOpEG5l28BG,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5656036,87
6AQbmUe0Qwf5PZnt4HmTXv,['bedroom pop'],2091682,80
7oDd86yk8itslrA9HRP2ki,"['canadian contemporary r&b', 'canadian pop', 'pop']",65663054,95
5w40ZYhbBMAlHYNDaVJIUu,"['dfw rap', 'melodic rap', 'pop', 'rap']",40788028,89
1odExI7RdWc4BT515LTAwj,['gen z singer-songwriter'],928829,79
2dHHgzDwk4BJdRwy9uXhTO,"['rap', 'trap']",4458924,89
6l8mgVN9Xf1hiDIFGA6CTE,"['pop', 'r&b']",34730923,87
3dnP0JxCgygwQH9Gm7q7nb,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",4099061,86
0V3wPSX9ygBnCm8psDIegu,['pop'],75710194,100
07bsRv0pcpbG4zJeLsUs1p,"['pop', 'uk pop']",112427605,91
3BKD1PwArikchz2Zrlp1qi,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26075832,88
2NbsBSshscKIPRG3kwBbfo,"['indie poptimism', 'pop']",2906949,81
5mHdCZtVyb4DcJw8799hZp,"['uk contemporary r&b', 'uk pop']",896321,78
5eTaQYBE1yrActixMAeLcZ,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",23415416,86
6UN73IYd0hZxLi8wFPMQij,"['new jersey underground rap', 'trap queen']",572089,79
5odlY52u43F5BjByhxg7wg,"['modern indie pop', 'pov: indie']",2423683,82
1Y3LN4zO1Edc2EluIoSPJN,['gen z singer-songwriter'],664646,78
609E1JCInJncactoMmkDon,"['pop', 'r&b en espanol']",7321097,85
1xzi1Jcr7mEi9K2RfzLOqS,"['pop', 'r&b']",34730923,87
4iZ4pt7kvcaH6Yo8UoZ4s2,"['pop', 'r&b', 'rap']",12806283,90
4h9wh7iOZ0GGn8QVp4RAOB,"['piano rock', 'pop']",15649050,83
7KokYm8cMIXCsGVmUvKtqf,['pop'],75710194,100
2L9N0zZnd37dwF0clgxMGI,"['alt z', 'boston folk', 'indie pop']",586543,74
5LrN7yUQAzvthd4QujgPFr,"['bedroom pop', 'bedroom r&b']",1189330,80
2i2gDpKKWjvnRTOZRhaPh2,['colombian pop'],4558979,86
3gdPwk2wyOXNRnTA1KXnEr,"['pop', 'uk pop']",11114717,83
6GGtHZgBycCgGBUhZo81xe,"['art pop', 'pop']",24193494,91
6dgUya35uo964z7GZXM07g,['pop'],5426385,78
3nqQXoyQOWXiESFLlDF1hG,"['pop', 'uk pop']",22642794,85
65FftemJ1DbbZ45DUfHJXE,"['k-pop', 'k-pop girl group']",3491423,80
4uUG5RXrOk84mYEfFvj3cK,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26075832,88
5CM4UuQ9Gnd6K2YyKGPMoK,['afrofuturism'],3287876,81
4FyesJzVpA39hbYvcseO2d,"['melodic rap', 'philly rap', 'rage rap', 'rap']",15151957,86
7sliFe6W30tPBPh6dvZsIH,[],120643,69
2UW7JaomAMuX9pZrjVpHAU,[],91409,81
4g1Ant3Me43Cm5Lx91bV8e,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",9358934,84
59uQI0PADDKeE6UZDTJEe8,['contemporary country'],6022676,90
0ZxhtATQ0a6EvQNZ0z6NKV,['bronx drill'],1323547,81
7aRCf5cLOFN1U7kvtChY1G,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",75735082,95
6pD0ufEQq0xdHSsRbg9LBK,"['musica chihuahuense', 'nueva musica mexicana']",986967,87
0HqZX76SFLDz2aW8aiqi7G,"['modern rock', 'pop', 'rock']",48075578,87
1DmW5Ep6ywYwxc2HMT5BG6,"['europop', 'swedish pop']",892446,75
6HgWWaMu31KdOpEG5l28BG,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5656036,87
1k513qenEUjyU3MxMSUaPj,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",3719677,76
7aRCf5cLOFN1U7kvtChY1G,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",75735082,95
1IzJxbARcQrOWMZgPw1PNj,"['atl hip hop', 'atl trap', 'rap', 'trap']",14275881,88
5wG3HvLhF6Y5KTGlK0IW3J,"['rap', 'trap']",4458924,89
4muwDurKeVOB1WBjTVRWlD,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5656036,87
4286sbHO5syVcp8BrFO2dI,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",9358934,84
3xOEfEmsrLwf9jcG4gErdA,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",4849745,77
52NGJPcLUzQq5w7uv4e5gf,['rap'],2916606,83
2AVgzrauK6QygWSBUDEcW3,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",4849745,77
1KUZ33cOqk3X4Ezk0aZnVp,"['pluggnb', 'rap', 'trap', 'vapor trap']",1169419,72
4mWbFYZ9P14Ulf1LIFZGhH,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",4849745,77
6KlqjCLNImX7W9zYt2Xa7D,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",5656036,87
2beD5W9IkefQ04IO39XF7w,"['pluggnb', 'rage rap']",2509407,83
7soBkLenwWM7kB92cuyl04,"['brooklyn drill', 'nyc rap']",1379327,76
7sliFe6W30tPBPh6dvZsIH,[],120643,69
6IEXjer2qbXhRLFv99NQQv,['trap queen'],27855,58
132Yd321hAG0oOz3lbiqig,[],273512,65
5BmB3OaQyYXCqRyN8iR2Yi,"['memphis hip hop', 'rap']",6230768,82
3FhZPYvMGSjFc6boVYKlCv,"['hip hop', 'north carolina hip hop', 'rap']",10849254,81
0FA4wrjDJvJTTU8AepZTup,"['melodic rap', 'philly rap', 'rage rap', 'rap']",15151957,86
2ZL7WZcjuYKi1KUDtp4kCC,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",75735082,95
3iRCr53b2ZOvoKMTNvBn5d,"['melodic rap', 'rap', 'trap']",7444306,81
75ZoVrZ4mXEsDxv1bQbEAS,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",3719677,76
3irk5ecKiBYSIB0350rH87,"['kentucky hip hop', 'memphis hip hop']",409255,69
2f9JzwRy6Ofr5ixvN0ojKt,['cali rap'],226655,68
0ZxhtATQ0a6EvQNZ0z6NKV,['bronx drill'],1323547,81
0B0Xu2ih8fWpcwyxAt1c7m,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",2034098,71
03P20c2fQ6SGnyyvngIdmG,"['afroswing', 'grime', 'uk hip hop']",1021993,65
72vMwCjJuRRa1r0bhFBbE1,"['new jersey underground rap', 'trap queen']",572089,79
7pFzbZz89oXVsRxhUvO7q2,[],26514,59
6w9GrSUaQQIaMBYtabge7p,['rap'],2916606,83
7qAwnjc2qPbpK1gB4VRwXW,['pop rap'],719956,70
6bdzSqnvBWrvq8HLmxZUCC,['north carolina hip hop'],1111202,72
2dSKFFNoNXKo3hPnlwUdPe,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",2925934,81
410ZZP746AQeiywhKvXWCo,"['hip hop', 'rap']",11630417,88
7l6nGz4gp6HGs5Cvmdeqe4,['florida rap'],4883732,77
0oWL7FTlaA1YtsRRuiF4Xs,"['atl hip hop', 'melodic rap', 'rap', 'trap']",6640281,79
4EgZqNfwsDJ1HvvSMEXypp,"['dirty south rap', 'philly rap', 'southern hip hop', 'trap']",1441506,66
451acSEXA7pfbMKXoC6vJX,['trap queen'],53949,56
0judK8TqYfvwUohBngUxrE,"['hip hop', 'rap']",11630417,88
2OZfJcpzSFApBxUA0gXuJz,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",2925934,81
4ZYAU4A2YBtlNdqOUtc7T2,"['hip pop', 'pop', 'queens hip hop', 'rap']",28316637,86
